wavelength;absorbance
646;0,088938
647;0,084483
648;0,080147
649;0,076656
650;0,073003
651;0,069683
652;0,066854
653;0,064079
654;0,061591
655;0,059576
656;0,057449
657;0,055391
658;0,053899
659;0,052038
660;0,05057
661;0,049089
662;0,04782
663;0,04654
664;0,045557
665;0,044672
666;0,043642
667;0,042961
668;0,042145
669;0,041285
670;0,040855
671;0,040093
672;0,039378
673;0,038919
674;0,038497
675;0,038012
676;0,037716
677;0,037431
678;0,037191
679;0,036919
680;0,036465
681;0,036228
682;0,036034
683;0,035709
684;0,035326
685;0,035277
686;0,0351
687;0,035002
688;0,034853
689;0,034907
690;0,034603
691;0,034351
692;0,034544
693;0,034373
694;0,034307
695;0,034497
696;0,034268
697;0,034353
698;0,034596
699;0,034572
700;0,03451
