wavelength;absorbance
643;0,086321
644;0,078845
645;0,071986
646;0,065572
647;0,05987
648;0,054453
649;0,049654
650;0,04517
651;0,041007
652;0,037194
653;0,033615
654;0,030551
655;0,027738
656;0,025075
657;0,022539
658;0,020368
659;0,018183
660;0,016346
661;0,014492
662;0,012929
663;0,011448
664;0,010155
665;0,008955
666;0,007754
667;0,006638
668;0,005687
669;0,004812
670;0,004032
671;0,003405
672;0,002633
673;0,002129
674;0,0017
675;0,001003
676;0,00054
677;0,00033
678;-0,00025
679;-0,00047
680;-0,00073
681;-0,00104
682;-0,00129
683;-0,00134
684;-0,00176
685;-0,00195
686;-0,0021
687;-0,00239
688;-0,00258
689;-0,00262
690;-0,00266
691;-0,00303
692;-0,00295
693;-0,00323
694;-0,00341
695;-0,00321
696;-0,00344
697;-0,00374
698;-0,00365
699;-0,00369
700;-0,00398
